background,target,t,fdr,eff_double,synergy,interpretation,n_double
RB1+TP53,E2F3,-12.81,0.0,-0.56,-0.158,genuine 3-way,148
RB1+TP53,SKP2,-9.58,0.0,-0.93,-0.184,genuine 3-way,148
MTAP+TP53,WDR77,-9.37,0.0,-1.64,-0.245,genuine 3-way,117
RB1+TP53,CKS1B,-8.11,0.0,-0.81,-0.172,genuine 3-way,148
MTAP+TP53,PELO,-7.31,0.0,-1.17,-0.178,genuine 3-way,117
MTAP+TP53,PRMT5,-7.21,0.0,-1.4,-0.19,genuine 3-way,117
RB1+TP53,CDK2,-6.04,0.0,-0.79,-0.144,genuine 3-way,148
BAP1+TP53,EFR3A,-5.62,0.0001,-0.53,-0.272,genuine 3-way,129
MTAP+TP53,METTL16,-5.52,0.0001,-1.45,-0.201,genuine 3-way,117
BAP1+KEAP1,ERBB2,-5.26,0.0006,-0.55,-0.292,genuine 3-way,50
BAP1+PBRM1,PSMD6,-5.2,0.0044,-2.15,-0.247,genuine 3-way,92
NF1+SMARCA4,CT45A1,-5.11,0.0015,-0.5,-0.029,driven by SMARCA4,36
NF1+SMARCA4,UQCRH,-5.09,0.0015,-1.53,-0.042,driven by SMARCA4,36
PTEN+RB1,YEATS2,-5.04,0.0012,-0.64,-0.129,genuine 3-way,63
PTEN+TP53,MLST8,-5.03,0.002,-0.71,-0.079,driven by PTEN,180
SMAD4+TP53,ZNF407,-4.98,0.0044,-0.74,-0.121,genuine 3-way,168
ARID1A+SMAD4,KLF5,-4.89,0.0101,-0.47,-0.172,genuine 3-way,104
SMAD4+TP53,TRAPPC8,-4.84,0.0067,-1.49,-0.044,driven by SMAD4,168
SMARCA4+TP53,HAUS8,-4.81,0.0106,-0.72,-0.114,genuine 3-way,131
SMARCA4+VHL,TBL1XR1,-4.81,0.0064,-0.48,-0.268,genuine 3-way,55
TP53+VHL,OST4,-4.78,0.0087,-0.42,-0.084,driven by VHL,105
ARID1A+BAP1,GRB2,-4.72,0.0245,-1.44,-0.483,genuine 3-way,71
SMARCA4+TP53,TUBA1C,-4.55,0.0222,-0.97,-0.185,genuine 3-way,131
ARID1A+MTAP,HEATR1,-4.52,0.0422,-1.75,-0.248,genuine 3-way,34
NF1+TP53,NUP62,-4.5,0.0522,-0.71,-0.083,driven by TP53,131
CDKN2A+MTAP,PRPF6,-4.49,0.0103,-1.48,-0.083,driven by MTAP,103
STK11+VHL,NUS1,-4.39,0.0384,-1.78,-0.215,genuine 3-way,66
PBRM1+TP53,CFLAR,-4.3,0.0619,-0.73,-0.258,genuine 3-way,135
BAP1+SMARCA4,RAB6A,-4.19,0.0915,-0.69,-0.177,genuine 3-way,54
MTAP+NF1,C3orf38,-4.07,0.0917,-0.41,-0.148,genuine 3-way,35
