A,B,maxid,minid,famA,B_ess_mean,B_ess_min,B_ess_var,A_ess_mean,A_loss_freq,codep,coexpr,B_gtex_med,B_gtex_breadth,bioplex,diff,panc_partner_loss,B_panc_dep
INTS6L,INTS6,68.8839,68.0401,4,-0.77305377,-3.8807697,0.6098976,0.25345263,0.0493273542600896,0.1234156414866447,0.2102515399456024,3.15143,54.0,0,-1.2930527925491333,0.25,-0.825149
NXT2,NXT1,74.2857,73.2394,2,-0.31152508,-3.343883,0.34552884,0.20328614,0.0504484304932735,-0.1674182415008545,0.0776004120707511,24.15365,54.0,0,-0.7945953607559204,0.3541666666666667,-0.61138135
COPG2,COPG1,80.9414,80.9414,1,-1.4050097,-3.153662,0.42924055,-0.05542165,0.1961883408071749,0.0031940198969095,0.1348218470811844,84.55850000000001,54.0,0,-0.402052640914917,0.4583333333333333,-1.6591946
CDK16,CDK6,39.8773,26.2097,26,-0.44089383,-3.0070827,0.3563153,0.1274374,0.0504484304932735,-0.146718144416809,-0.1146151646971702,5.13879,53.0,0,-0.3831176161766052,0.3958333333333333,-0.60495526
PPP1R27,PPP1R12A,37.013,37.013,3,-1.1051822,-3.1050322,0.37943292,0.02826774,0.0986547085201793,-0.0689209252595901,-0.0211176127195358,30.03845,54.0,0,-0.3672858476638794,0.2708333333333333,-1.3206038
TUBB,TUBB4B,97.5225,97.5225,22,-0.2003465,-2.5763264,0.15642244,-1.8472339,0.1782511210762331,-0.1279323846101761,0.3960369825363159,198.101,54.0,0,-0.363633930683136,0.375,-0.42174768
NRAS,KRAS,84.5745,84.127,35,-0.4033601,-4.249555,0.5063061,-0.015625337,0.2085201793721973,-0.1603339165449142,0.2728804051876068,13.80505,54.0,0,-0.3591998517513275,0.4375,-1.9328641
PPP2CB,PPP2CA,97.411,97.411,12,-0.9288049,-4.537527,0.32938474,0.22939181,0.4674887892376682,0.0229483675211668,0.4160477221012115,49.02695,54.0,0,-0.3411231637001037,0.25,-1.2655326
NAPA,NAPG,26.4407,26.4407,2,-0.5946521,-2.6880171,0.23866571,-1.1208439,0.2320627802690583,0.2507733404636383,0.2043627202510833,20.1017,54.0,1,-0.3336650133132934,0.4583333333333333,-0.593098
SNAP29,SNAP23,23.2227,18.9922,3,-0.6688907,-3.5627155,0.46883097,-0.14683582,0.2690582959641255,-0.0917426422238349,0.2303056865930557,19.145,54.0,0,-0.3233962655067444,0.3541666666666667,-0.8875218
MAGOHB,MAGOH,98.6301,97.2973,1,-0.7076163,-2.641132,0.24263464,0.1737572,0.1883408071748878,0.1910907179117202,0.4319841563701629,26.66395,54.0,0,-0.3168803453445434,0.2916666666666667,-0.8061865
ACTR1B,ACTR1A,90.1596,90.1596,26,-0.76413524,-3.3035939,0.30108055,-0.17676233,0.1289237668161435,0.015306576155126,0.2951048016548157,76.1724,54.0,1,-0.3094410896301269,0.3125,-0.76119155
DDX39A,DDX39B,89.6955,89.6955,38,-0.49707502,-2.2462912,0.15850444,-0.040091027,0.2410313901345291,0.0082798646762967,0.3877066671848297,187.039,54.0,1,-0.3090174794197082,0.3541666666666667,-0.6467982
PFN2,PFN1,61.4286,61.4286,2,-0.76610464,-2.5439434,0.24729274,0.10620712,0.1143497757847533,-0.0711704939603805,0.1085085198283195,310.2225,54.0,0,-0.2809197902679443,0.2916666666666667,-0.9037673
ACTG1,ACTB,98.9333,98.9333,26,-0.64142084,-3.5489085,0.26070398,-0.63838845,0.140134529147982,0.1632175892591476,0.4558403789997101,2212.42,54.0,0,-0.2761027812957763,0.375,-0.6812032
VPS4B,VPS4A,81.2357,79.955,9,-0.20894031,-3.0158186,0.15630436,0.06120667,0.5044843049327354,0.2476045042276382,0.2871547341346741,55.8287,54.0,1,-0.2619623243808746,0.3958333333333333,-0.5333644
