gene,t,p,fdr,eff_flag,eff_rest
A1BG,0.09822305377790257,0.9217719151333938,0.9907571941845393,0.16498342,0.15956858
A1CF,-0.21831814376508812,0.8272191166672272,0.9847455442382084,0.14231129,0.14073187
A2M,0.20160534521369577,0.8402601322936607,0.985064497039842,0.15707263,0.1508462
A2ML1,0.9329146667793086,0.3510555230836792,0.899053008822389,0.26552656,0.25651914
A3GALT2,-2.404419580485357,0.016352028732759823,0.46043889753191825,0.077092156,0.10730598
A4GALT,-1.0051465115747014,0.3150330760298919,0.8912192586375755,0.09754444,0.10287206
A4GNT,0.1820772281204332,0.8555534988642887,0.9873039265087746,0.22362563,0.2243543
AAAS,0.12015407164344538,0.9043816232836854,0.9904757021094086,-0.1758202,-0.17485973
AACS,0.3325754470561907,0.7395140524251974,0.9735674130073411,0.16670738,0.15465297
AADAC,-1.2426621980730346,0.2142400581996125,0.8343170459807846,0.26194823,0.27574664
AADACL2,-0.4644035030025195,0.6424446408281399,0.965129893287571,0.18776974,0.1950483
AADACL3,-0.31567186647309764,0.7523075940100072,0.9751279696873958,0.18473491,0.18830493
AADACL4,-0.7215911129608379,0.47068934349985025,0.9252647254759064,0.17561261,0.18392639
AADAT,-0.27072308296714126,0.7866515282735504,0.9801590792222227,0.13559458,0.13831326
AAGAB,0.17746262187241374,0.8591755831015886,0.9873039265087746,0.18676755,0.19230519
AAK1,2.2495954382056746,0.024658988979323903,0.5148972850337812,-0.046342015,-0.06693287
AAMDC,1.356457213357667,0.1752140882604002,0.8029058770802372,0.12869258,0.11073034
AAMP,0.6393673042750486,0.5227085328212708,0.9384142435294487,-0.79973453,-0.8333673
AANAT,0.8960287057949848,0.3704208040120137,0.9040965156438044,-0.006632435,-0.018689498
AAR2,-0.42717563922877977,0.6693296011138744,0.9686287385656036,0.073512085,0.07821687
AARD,-0.016468989508746323,0.9868630350428875,0.9986244404803255,-0.039942067,-0.03827657
AARS1,-0.47530210827792846,0.6346599218424783,0.9634810879210404,-2.162359,-2.162954
AARS2,0.13737296086927073,0.8907595177040677,0.9902783999889898,-0.45418817,-0.45449194
AARSD1,0.22858976249696863,0.8192275247519456,0.9843097303207844,-0.055196397,-0.059843007
AASDH,0.10233388159694994,0.9185091088462741,0.9905598195935588,0.09045211,0.083789535
AASDHPPT,-1.092126991548311,0.2750009714175923,0.8775689687169627,-0.2941731,-0.2654104
AASS,-0.7653852470558925,0.44419575086394925,0.9217683604994226,0.17620285,0.18254776
AATF,0.673312691681021,0.5008806764926751,0.9330558468572776,-0.5996792,-0.61828107
AATK,0.8199931399747895,0.4123861805991691,0.9114807153724154,0.003260374,-0.013265813
ABAT,0.04352534304231025,0.9652901517301775,0.9960349574982972,0.14565395,0.13865697
ABCA1,-0.3545746721434667,0.7229718247505488,0.9735608499940626,0.15654276,0.16887148
ABCA10,-0.18456474504392306,0.8536022619896823,0.9871623407955832,0.22512309,0.22443238
ABCA12,-0.51260103261825,0.6083266933320168,0.9588462594153516,0.17346825,0.17698649
ABCA13,-1.5072557892849585,0.13201367514840184,0.7611528980009441,0.10121056,0.1131991
ABCA2,-1.3224673594252594,0.18626970039234172,0.8100830363695105,0.14283529,0.1573704
ABCA3,0.03583909864310189,0.9714167390913073,0.997012311122881,0.17413987,0.17035204
ABCA4,-2.24960896977756,0.0246581265926299,0.5148972850337812,-0.046669405,0.0027108886
ABCA5,-0.21122456090034994,0.832748642617773,0.9847455442382084,0.104607224,0.104614794
ABCA6,-0.4476884711919519,0.6544604963314897,0.9662487973025503,0.2164281,0.22987512
ABCA7,-0.735841961382865,0.46197361861595765,0.9252647254759064,0.23843065,0.2382444
ABCA8,-0.5835299946069853,0.5596484642040044,0.9460441912946183,0.1174564,0.12884036
ABCA9,0.15537283504183727,0.8765540621496521,0.9892429918259578,0.22890417,0.22546597
ABCB1,0.8782772439885638,0.3799726846617336,0.9068373061407464,0.056495912,0.046219345
ABCB10,0.17559381359201293,0.8606432921539094,0.9873039265087746,-0.10163212,-0.109261006
ABCB11,-0.3302026053935748,0.7413056910517724,0.9738869397701819,0.11443693,0.12137907
ABCB4,-1.1036897922388316,0.26995351043138893,0.8736122447540047,0.085897714,0.1012077
ABCB5,1.3113927293995118,0.1899810898261614,0.8130350817547531,0.1272956,0.125736
ABCB6,1.0567265238980996,0.2908534419064007,0.884077448830478,0.18663631,0.16578257
ABCB7,1.0982648233608636,0.2723136718281389,0.874308468479725,-1.0761586,-1.127925
ABCB8,2.312893943431016,0.02090037883418398,0.49150370580744074,0.24861786,0.2151989
ABCB9,-0.12394771687349478,0.9013778527819041,0.9904757021094086,0.09542079,0.0961298
ABCC1,-0.35775783615741524,0.7205887450161149,0.9733835270440638,0.18195775,0.18273713
ABCC10,0.4740308078269409,0.6355659338187338,0.9634810879210404,0.022487475,0.0142509425
ABCC11,-0.20786424502182557,0.8353709586427358,0.9847455442382084,0.19056532,0.19830671
ABCC12,-0.6027476355217867,0.5467927979053824,0.9447929867086298,0.19756943,0.207481
ABCC2,-0.3980969074438037,0.6906310116164996,0.9692985290417766,0.13592948,0.14052135
ABCC3,-0.6477913543898371,0.5172463512279569,0.937257556130889,0.08415851,0.08893043
ABCC4,-0.15803220673525753,0.8744585509939359,0.9892429918259578,0.28709725,0.2893948
ABCC5,-1.094913441843086,0.2737787537116001,0.8765386836659896,0.19459008,0.21350516
ABCC6,0.1270594015202537,0.8989151049886023,0.9904757021094086,0.11604389,0.11706491
