gene,t,p,fdr,eff_flag,eff_rest
A1BG,-0.9136017822187127,0.3611133938356286,0.8407800089422373,0.16249411,0.16017897
A1CF,-1.6611477167868383,0.09695032969291109,0.650636341716459,0.115850426,0.14506702
A2M,-1.5713769810327496,0.11636410383637871,0.6769995402798556,0.13577801,0.15452553
A2ML1,-0.8288286432229499,0.4073695640778378,0.8602651205736511,0.24472693,0.26022533
A3GALT2,-0.13340079307246147,0.893899241653086,0.9863989659686276,0.10978855,0.10086219
A4GALT,-0.688469047154277,0.4912932423296555,0.8904957360320339,0.10783686,0.101004556
A4GNT,-0.7975168991734226,0.4253118879769706,0.8687545490909689,0.21500787,0.22571838
AAAS,0.5929153670147824,0.553351791139709,0.9129359155659786,-0.15837638,-0.17771459
AACS,1.02675876472288,0.3047452118646487,0.8150142186554777,0.17502809,0.15377244
AADAC,0.6119530596983198,0.5406871048830407,0.9081367479912651,0.26810318,0.2742218
AADACL2,-2.017932734643827,0.04382500256619304,0.5358479262214625,0.17407022,0.19698144
AADACL3,-0.4901304860246378,0.6241329915428679,0.9352600616975815,0.17962997,0.18899223
AADACL4,-0.563548305445138,0.5731690148559977,0.9195749974563305,0.18046586,0.18282267
AADAT,-0.4448562024735435,0.6565055378974143,0.94103874046427,0.14884189,0.13606872
AAGAB,-1.3996839213790988,0.1618717204865371,0.725153356958736,0.17370261,0.19420272
AAK1,-0.5121123181463241,0.6086685606966689,0.9295967128239074,-0.07546381,-0.06143662
AAMDC,-0.15237347647286204,0.8789185128431969,0.9859552575768444,0.11650879,0.113389336
AAMP,-0.784526777963304,0.43288907528251896,0.8711448462958872,-0.81680614,-0.829316
AANAT,0.7906502832400794,0.4293075082630642,0.8700809034563604,-0.0026614193,-0.018867234
AAR2,-1.0785194495241492,0.2810231711750601,0.8059849789092366,0.068088286,0.07891207
AARD,0.7120031944287759,0.47660401904538313,0.8876330730582909,-0.044338834,-0.03763038
AARS1,-0.9373605666338922,0.34876557787389073,0.8338246579255669,-2.1679254,-2.1620328
AARS2,0.874287992428481,0.38213994283084846,0.84946936376712,-0.44896185,-0.4553246
AARSD1,-0.29756983404934223,0.7660840581838533,0.9683699646797398,-0.060960274,-0.058733188
AASDH,1.300900341263446,0.1935474063782669,0.7550446146801694,0.100974,0.08234607
AASDHPPT,-1.016000609756211,0.3098380740441181,0.8172028153712029,-0.2809032,-0.2686603
AASS,-0.46783448582220194,0.6399896411174578,0.9376151566719375,0.18044813,0.1816179
AATF,-0.027693565664323853,0.9779112542289647,0.9971208018112108,-0.6033265,-0.61697656
AATK,-0.5256217822661134,0.59925011157805,0.9281803341493181,-0.0078029633,-0.010843035
ABAT,0.7894764062049926,0.42999275620362143,0.8702079126010015,0.16518982,0.13577025
ABCA1,2.2437984024317044,0.02503085721966241,0.47259974492498047,0.18158472,0.16435204
ABCA10,-1.134634473695378,0.2567597182777056,0.7963203915320775,0.20782033,0.22725405
ABCA12,-0.34343958338348995,0.7313291729530677,0.9603359484122234,0.18105471,0.17562559
ABCA13,-1.7189059594573513,0.08589466547835668,0.6293847552310904,0.09764114,0.11331462
ABCA2,-0.0742002802514016,0.9408636417415867,0.993056040490312,0.15044016,0.15558292
ABCA3,-0.526691213565474,0.5985073637518904,0.9281121303503164,0.17561796,0.17025897
ABCA4,-2.4626537708156033,0.013933818337853615,0.41276096864535894,-0.046400595,0.00076822203
ABCA5,-1.823795733509178,0.06843666114044657,0.5921152078620909,0.09195422,0.1066584
ABCA6,-0.652130515839784,0.5144444156243472,0.8991011474049587,0.22079004,0.2286533
ABCA7,-1.0349145507147435,0.30092158254792273,0.8135946667924652,0.24518304,0.2371607
ABCA8,-1.5395526069753274,0.12393845849736201,0.6805129773190851,0.10823251,0.1298926
ABCA9,-0.5267342958722495,0.5984774507355095,0.9281121303503164,0.22820859,0.22571057
ABCB1,-0.6283840161505498,0.5298744226686808,0.9050311337311187,0.044248115,0.048593104
ABCB10,-0.6194014988610499,0.5357718713119971,0.906760965202845,-0.10894104,-0.10778694
ABCB11,0.9671122617468964,0.3336867592545219,0.82971827299707,0.13125937,0.11839456
ABCB4,-1.0185336609432825,0.3086339020708965,0.81672557981194,0.08451506,0.10084221
ABCB5,-0.7487968631010599,0.4541293872636333,0.8800225839852375,0.10748232,0.12899655
ABCB6,-0.13364959400697504,0.8937025323194521,0.9863989659686276,0.18418533,0.16698055
ABCB7,-1.0708371082718786,0.2844623979480004,0.8067987938889277,-1.1301826,-1.1172073
ABCB8,0.18607510829475665,0.8524179522965856,0.9820473598681938,0.24083468,0.2177415
ABCB9,1.3795788197819956,0.1679786199572025,0.7291665041993253,0.11394026,0.093110904
ABCC1,0.9409302284141079,0.34693384902552576,0.8336399320918073,0.19753157,0.18019141
ABCC10,-2.0356944250558584,0.0420048330858463,0.5342426643197101,-0.0029101474,0.018670442
ABCC11,-0.9260377480616527,0.35461635743736764,0.8369484034207543,0.18771823,0.19846888
ABCC12,-0.7349550596337856,0.4625133961304702,0.8831360889947186,0.19969098,0.20675708
ABCC2,-0.6310489747432361,0.5281311262357354,0.9045048655546946,0.1317434,0.14102095
ABCC3,-0.12473842722826226,0.9007519527663357,0.9863989659686276,0.07989286,0.08943596
ABCC4,-1.3296971431486146,0.1838759307193066,0.7492560671655055,0.27713767,0.2909152
ABCC5,1.76840699140835,0.07725210215452204,0.6104761991675699,0.22165959,0.20840494
ABCC6,0.9114563033254586,0.36224179035037307,0.8417181964868669,0.11474015,0.11723637
ABCC8,-0.7886978231281812,0.4304476028132065,0.8702510949544615,0.21333453,0.21686083
ABCC9,0.5664711578771957,0.5711816217732505,0.9185884530224708,0.12914391,0.13000408
ABCD1,-1.5621838217551707,0.11851373670337995,0.6769995402798556,0.009704085,0.05800188
ABCD2,-1.4838248091197608,0.1381233595504248,0.699970909777413,0.12641953,0.1484061
ABCD3,-0.28731678746914685,0.7739203880277717,0.9694957392446154,-0.0037385416,0.023276858
ABCD4,0.38980972563662386,0.6967478363974043,0.9540421489253721,0.042668622,0.05147021
ABCE1,-0.5877701891031027,0.5567993991400703,0.9146066620389597,-1.9245547,-1.8686298
ABCF1,-1.4669266480071348,0.14266337083969657,0.7051782205444852,-0.97735435,-0.88260484
ABCF3,-1.11780898846823,0.2638768802141897,0.800523654172403,0.1594069,0.17595413
ABCG1,0.15060719215193655,0.8803114153655691,0.9859552575768444,0.15625538,0.16097294
ABCG2,-3.2521563667001994,0.0011778499744267163,0.19421057714462417,0.21247698,0.24315128
ABCG4,0.233652961538322,0.8152950736974627,0.9754168676091136,0.17266019,0.17955555
ABCG5,2.514480628439,0.012053395998302898,0.39885978793669824,0.21651429,0.19588788
ABCG8,1.429167955835471,0.15322153389654095,0.7161436318744948,0.18708561,0.17928816
ABHD1,-1.5186403661723988,0.12912182422882992,0.6897420244803578,0.16578995,0.17245446
ABHD10,-0.7744515890259075,0.4388194580701968,0.8728814273828699,0.15440431,0.18867105
ABHD11,1.9649090449815039,0.04965988989886188,0.5497455853870629,-0.17295864,-0.24670489
ABHD12,0.5749089169119332,0.5654628654729033,0.9168178561475773,0.17280094,0.15739372
ABHD12B,2.811852255139496,0.005007563006630668,0.3345163499911467,0.19393662,0.17117395
ABHD13,1.2380727355357661,0.21593619430599073,0.7678974509085232,0.069197126,0.04590544
ABHD14A,0.3152559113649451,0.7526232883477365,0.9653811972293144,0.18522374,0.19082516
ABHD14B,0.6780757096343447,0.4978570832585079,0.8932215413017609,0.1669515,0.18269037
ABHD15,-0.08449404196589445,0.9326780208106576,0.9915224516531036,-0.05584127,-0.061753083
ABHD16A,-0.4533457708088871,0.6503834152585402,0.9392494288686811,0.011070274,0.012946534
ABHD16B,-0.37634701414295424,0.7067268179721397,0.9551003843523179,0.16502531,0.16835393
ABHD17A,0.1149579863106289,0.9084980477087075,0.9879360893240557,-0.11336012,-0.15441743
ABHD17B,-1.927241027113129,0.054190255343428945,0.5582185301440695,0.1772405,0.20284733
ABHD17C,-2.205591783004827,0.02760547860891485,0.4816922072521667,0.25338835,0.2543968
ABHD18,-0.8364406244403279,0.40307699223211074,0.856897628340232,0.24478349,0.23661825
ABHD2,-0.004995814751060571,0.9960147804244169,0.9990629588619546,0.09376526,0.08888011
ABHD3,-2.127150132568775,0.03361526805007529,0.5040757451628725,0.06264846,0.095721714
ABHD4,1.932883736552693,0.05349037363217685,0.5565581773036885,0.19124034,0.17439377
ABHD5,0.9935982797974072,0.32062287475382373,0.822852454344615,0.102195516,0.0869121
ABHD6,-0.03681801086000028,0.9706363617667397,0.9951968701134926,0.23549613,0.25167653
ABHD8,-2.136414186551089,0.032851618654004294,0.5007781629904887,0.10712431,0.14052081
ABI1,-1.2929863171879843,0.19626974005279935,0.7561798358008848,0.04801336,0.1199267
ABI2,0.1391005765501321,0.889394489037124,0.9863989659686276,0.24209334,0.22892727
ABI3,-2.159846994401422,0.03098609898040791,0.4919485469889233,0.1799341,0.20265307
ABI3BP,0.04709450747506024,0.9624459009648665,0.99429130936914,0.24876425,0.23055044
ABITRAM,0.4003825643690966,0.6889474849325046,0.9521909372933914,0.14016874,0.13615339
ABL1,-0.9913920964715968,0.3216980936376977,0.82316865136705,0.11138658,0.13978364
ABL2,-1.6671707628892778,0.09574671328976454,0.6493897375510989,0.23137426,0.24378079
ABLIM1,-1.580117892818629,0.11434878078618216,0.6739731622700796,0.18666935,0.20074119
ABLIM2,-0.1664319660744461,0.8678456291812027,0.9846629519908631,0.1942931,0.19638765
ABLIM3,-1.5571061176736123,0.11971435128246713,0.6769995402798556,0.18382435,0.20076038
ABR,-0.4346831138048847,0.6638722059342071,0.9434938145691228,0.16161811,0.15965958
ABRA,0.8692476633166609,0.38488905312599864,0.8512559214508119,0.104610145,0.11412109
ABRACL,-0.7247421233150441,0.46875441600025824,0.8849428715296377,0.2316623,0.2463662
ABRAXAS1,-1.2569752086726036,0.20901220358907716,0.762141901753087,-0.14827965,-0.1407926
ABRAXAS2,0.35864713777548873,0.7199234524266368,0.9581915892349354,0.30877167,0.3070074
ABT1,-0.26045508676319507,0.7945583520611178,0.9733096013967859,-0.70242125,-0.727892
ABTB1,-1.0782188874299106,0.2811571931140004,0.8059849789092366,0.1980782,0.20286852
ABTB2,-0.3908718286992706,0.6959627769360861,0.9540405585174808,0.20847555,0.20730408
ABTB3,1.3388833352829401,0.18086739994252782,0.7456404423437114,0.13757907,0.11534554
ACAA1,-1.3478354060313686,0.17797090503869936,0.74161880847136,0.19359553,0.21181767
ACAA2,-0.1348986064544238,0.892715125520985,0.9863989659686276,0.099806026,0.09403824
ACACA,-0.6134815606763738,0.5396766075530635,0.907601770290155,-0.25077167,-0.19930044
ACACB,0.38422373568236623,0.7008820897355057,0.9543035647577266,0.0731681,0.07780733
ACAD10,-2.165932205739884,0.030516805786653372,0.49002149201971895,0.07287196,0.08906401
ACAD11,0.7903062863296102,0.4295082497912586,0.8700809034563604,0.18319051,0.18497714
ACAD8,-1.798768046121366,0.07231170913019253,0.5974909057149692,0.20256208,0.20573457
ACAD9,1.6029329379457469,0.10921799364360668,0.66569862626735,-0.07673729,-0.111471705
ACADL,-0.9885946586494164,0.3230648551840139,0.8242127958860852,0.14953063,0.15863231
ACADM,-0.23215068525078786,0.8164613702513082,0.9759301846176218,0.14975174,0.15687147
ACADS,-0.8096694401895155,0.41829397892573617,0.8649552265111514,0.0946572,0.11012217
ACADSB,0.24615268979376206,0.8056069925787547,0.9743312347916006,0.089326955,0.09433898
ACADVL,0.7168102918188197,0.4736334933101345,0.8862872124134203,0.14086315,0.12671684
ACAN,0.1182885879730032,0.9058592000361598,0.9872655905352044,0.15978868,0.15980262
ACAP1,-0.9070717365583182,0.3645546855394175,0.8429718818936722,0.10676118,0.11577957
ACAP2,-0.6565441291354926,0.5116025305710385,0.8977250337056434,0.13363573,0.16648188
ACAP3,0.10961122974961104,0.9127364050250792,0.9881527893657617,0.011075155,-0.0009220726
ACAT1,0.18638179294426818,0.8521775145825787,0.9820473598681938,0.21597187,0.21782604
ACAT2,0.7500392115113494,0.45338111313958185,0.8800178935312705,0.28829363,0.2995286
ACBD3,-0.22172811700073716,0.8245640364428525,0.9775276509209745,0.15018971,0.14270948
ACBD4,-0.4364809051818013,0.6625679717995445,0.9430684718771956,0.045451503,0.053670015
ACBD5,0.9656637361609205,0.33441100666296925,0.82971827299707,0.1685911,0.18027183
ACBD6,1.8964253435429945,0.058148711484633686,0.5710266301375989,0.2283992,0.2171801
ACBD7,2.777033621400935,0.005572879477366279,0.34654707917810235,0.28519303,0.26867884
ACCS,-1.23409971021029,0.2174123132949508,0.7711578825986447,0.19322503,0.20745419
ACCSL,0.9892007251844582,0.3227684242979168,0.8242127958860852,0.13478969,0.118409045
ACD,2.7508993998111824,0.006034408258931272,0.353639986693717,-0.15528977,-0.25635493
ACE,1.2712070943462004,0.20390635733777865,0.7597119685983258,0.044262398,0.021920776
ACE2,-0.9940514414839562,0.32040231059361,0.8228105181116289,0.36900428,0.3818873
ACER1,-0.8129718313614517,0.4163987598997313,0.863755704423942,0.14819448,0.14298563
ACER2,0.6732318163428498,0.5009321006583825,0.8937774655594536,0.19471653,0.17516334
ACER3,-0.4218508900188664,0.6732109596872249,0.9460129843023197,0.22060381,0.23640232
ACHE,-0.15291666789271835,0.8784902240233621,0.9859552575768444,-0.09660066,-0.11075373
ACIN1,1.95162684308856,0.05121964177027982,0.5497455853870629,-0.58239305,-0.6602501
ACKR1,0.21980372628581102,0.8260621644131957,0.9776368500199623,0.105826795,0.10408491
ACKR2,-0.8743072336421154,0.38212947138936026,0.84946936376712,0.21241876,0.2410216
ACKR3,-1.340807744749901,0.18024180737949083,0.7438888491201213,0.20298629,0.20575884
ACKR4,0.7781102428601053,0.4366605423569835,0.8724870245490534,0.0024246979,-0.012463538
ACLY,-1.1046216524713879,0.26954951779338,0.8021490209306227,-0.40353566,-0.3594982
ACMSD,-2.1230949121392677,0.033954299945712973,0.5062004282333122,0.20877947,0.22651514
ACO1,-0.8575444532856709,0.3913187837666182,0.8533199203675926,0.2171268,0.22595422
ACO2,-1.187314303041943,0.23534343520617895,0.7823794116418727,-0.72786,-0.57434595
ACOD1,-0.5189267666480424,0.6039094462414323,0.9281803341493181,0.19064209,0.20467664
ACOT1,-0.030448293425619916,0.9757146965380566,0.9964711513665874,0.469555,0.46884048
ACOT11,-0.06005456661787828,0.9521223787838667,0.9932882847066281,0.16969669,0.15914115
ACOT12,-0.8882516897660517,0.37458701726033594,0.8466588307305466,-0.09176149,-0.077022076
ACOT13,0.6766509512066196,0.4987605079295976,0.8934876892402097,0.19423158,0.18378597
ACOT2,-0.21058902034257587,0.8332444624536576,0.9788920330958985,0.21117099,0.21189602
ACOT4,0.15272685963315047,0.8786398776404023,0.9859552575768444,0.009571724,0.0068046255
ACOT6,-0.5174774873102695,0.6049202005259333,0.928229786795676,0.10518248,0.116492935
ACOT7,-0.07829699733121832,0.9376051256173986,0.9924705696674497,0.23035496,0.22973202
ACOT8,-0.876085795431211,0.38116230455781513,0.8494670674396719,0.16874033,0.17820475
ACOT9,-1.4611545935190198,0.14424014841340582,0.707558856122141,0.250402,0.26138654
ACOX1,-0.6500747715749526,0.5157708899966633,0.9001950345627048,-0.06379155,-0.007399813
ACOX2,-1.1291506044514141,0.25906458128289583,0.7972248100132394,0.08479343,0.0862921
ACOX3,-0.7415820128485748,0.45848869111207985,0.8813447870714916,0.20016491,0.21227051
ACOXL,-1.5853911969010863,0.11314632350712805,0.6717222192654431,-0.042303108,-0.00875439
ACP1,0.6252762362986144,0.531911084674325,0.9060432310046803,0.32916608,0.31203744
ACP2,1.5946564473610387,0.11105777857555471,0.6686936301105534,0.22476798,0.19697692
ACP3,0.5389964357270278,0.5899913322445077,0.9245760675981782,0.1760055,0.1807471
ACP4,-1.6015223470219853,0.10952983735322915,0.6665672958925087,0.20234294,0.22187763
ACP5,-1.5562675855733124,0.11991353535577681,0.6770441094178332,0.16645934,0.17685735
ACP6,1.4366220190647372,0.15109139604187902,0.7149833146200357,0.119033396,0.0989215
ACP7,-1.086225350495184,0.277601901937465,0.8054356506148258,-0.003861798,0.008897003
ACR,0.28576417408190596,0.7751090750311039,0.9694957392446154,0.006394336,-0.01700471
