gene,mean_PTENdef,mean_PTENwt,diff,t,n_def,n_wt,p,fdr
A1BG,0.16761502046743731,0.1573370238733299,0.010277996594107414,1.0669293113313718,240,876,0.2860037576768715,0.7043681147947498
A1CF,0.13584706887927486,0.14159975257730806,-0.005752683698033195,-0.5885516491884543,240,876,0.5561620767827029,0.8570465506552811
A2M,0.13949700054126266,0.15295954644514995,-0.01346254590388729,-1.4897415706577077,240,876,0.13629219961662128,0.5481679777465545
A2ML1,0.27392355519999373,0.2531894944380922,0.02073406076190154,2.391725549348393,240,876,0.01676937677087419,0.2601571230551099
A3GALT2,0.09604371565143446,0.10166252357438112,-0.005618807922946653,-0.531383091952736,240,876,0.5951533358106762,0.8706702598344016
A4GALT,0.10413028340866418,0.09896430433924601,0.005165979069418167,0.5083659451311626,240,876,0.6111967307338722,0.8773357976554942
A4GNT,0.2153927516158772,0.22536700361917672,-0.009974252003299516,-1.0098971502077927,240,876,0.3125445681630902,0.7258210575277886
AAAS,-0.1704801665735453,-0.1733573383194029,0.002877171745857582,0.16298505326143392,240,876,0.8705302030769897,0.964140947243375
AACS,0.1529946032613694,0.15601596873465737,-0.0030213654732879625,-0.2764546393501617,240,876,0.7821988950350107,0.9406969282095735
AADAC,0.27230937097820246,0.2734560697698167,-0.0011466987916142202,-0.12449562433514726,240,876,0.9009228647035427,0.9721107995791518
AADACL2,0.18267462276054397,0.192615911327784,-0.009941288567240025,-1.245650821763222,240,876,0.212892615585063,0.6376665707977379
AADACL3,0.17208431248303993,0.1901535129450217,-0.018069200461981766,-1.7934417070412734,240,876,0.07290232372884747,0.4352183736856552
AADACL4,0.1828879426587398,0.1821803086596372,0.0007076339991026193,0.08545886446411793,240,876,0.9318965971918319,0.979745319096316
AADAT,0.13401050411938706,0.13876496000975577,-0.004754455890368714,-0.5382078660114072,240,876,0.5904335501151209,0.8695883370346642
AAGAB,0.20270473722996732,0.18568177748934578,0.01702295974062154,1.5724118690218223,240,876,0.11585506343486147,0.5156417417724942
AAK1,-0.07531265724069354,-0.058195818036084375,-0.017116839204609165,-1.5043556665083093,240,876,0.1324898129454084,0.5436833576911071
AAMDC,0.135556363219645,0.10725794808465994,0.028298415134985072,3.0066032343254645,240,876,0.0026418433277699675,0.13162805877686312
AAMP,-0.8086059494274025,-0.8309678919506942,0.02236194252329171,1.0212656623832785,240,876,0.3071285902150195,0.7221831072211586
AANAT,-0.00014123014177340996,-0.01972421707641016,0.01958298693463675,1.7064480864675822,240,876,0.08792468406778889,0.4655059020073774
AAR2,0.10207942568026253,0.07129036896569049,0.030789056714572036,3.0077372966352995,240,876,0.002632005509112969,0.13149328336178207
AARD,-0.03902998781825247,-0.03594907926224177,-0.003080908556010696,-0.216100692635821,240,876,0.8289092598245895,0.9530296102628486
