gene,partial_r,t,p,eff_def,eff_wt,fdr,n_def
ARID1B,-0.34232416868867876,-12.414208235310767,2.5665390975976452e-33,-0.13346083,0.13223384,4.7560536017581964e-29,118
WRN,-0.3303007336695978,-11.923693978678621,5.29221107533992e-31,-0.38364226,0.08309779,4.903498171856203e-27,118
RABL2B,-0.1716166744602223,-5.935634436142284,3.860465599380067e-09,-0.10203701,0.0014335893,2.1472439640838827e-05,118
RPL22L1,-0.1707472119347298,-5.904657271169385,4.634923024302806e-09,-0.23874067,-0.063595615,2.1472439640838827e-05,118
SDHC,-0.15361222100266692,-5.296966938458779,1.407667543467317e-07,-1.0402966,-0.831034,0.0004950592896012132,118
ZP3,-0.15292257328405187,-5.272615254550432,1.602911735798003e-07,-0.04618891,0.032528542,0.0004950592896012132,118
DUSP26,-0.14506156186302502,-4.995588062875212,6.76529150207825e-07,0.141287,0.19065955,0.0017909659546430294,118
BRD2,-0.14023878198990236,-4.826112166030022,1.5776906736793339e-06,-0.4826677,-0.28347307,0.0031621049803224758,118
IL9R,-0.1393094129529298,-4.793494159602224,1.8514038728029407e-06,-0.09831356,-0.007811703,0.0031621049803224758,118
MDM4,-0.1392292916006904,-4.790682751717769,1.877025243297568e-06,-0.039268795,0.0917921,0.0031621049803224758,118
BIN3,-0.13743134111562533,-4.727618919210256,2.550021348260114e-06,0.38344774,0.44270247,0.003369649339294416,118
RAB40C,-0.1366905705714178,-4.701649989649564,2.8899243391891267e-06,0.07096978,0.14469674,0.003369649339294416,118
KLHDC7B,-0.13590370250068892,-4.674073837738964,3.2983852630587625e-06,0.22176738,0.26201636,0.0035954339593965838,118
R3HDM1,-0.1351022408198257,-4.645995509816341,3.7709758610121257e-06,0.11325739,0.17416891,0.0038822196489119837,118
ACR,-0.13264730412337206,-4.560047049851867,5.656221591495369e-06,-0.0745352,-0.0069207386,0.004991211538666699,118
YWHAG,-0.1314866845701347,-4.519443072680161,6.834282839235837e-06,-0.17114712,-0.07752758,0.005756640695176332,118
ARID2,-0.13068234780170498,-4.491314662894511,7.78452420820934e-06,-0.42085502,-0.26417238,0.006271957308796839,118
CCDC102A,-0.1291171432179584,-4.43660380080749,1.0007086363524052e-05,0.046886947,0.12845612,0.007417652696098568,118
DPY30,-0.1283302207513273,-4.4091101272899325,1.1341603702980732e-05,-0.3847007,-0.2623245,0.007784120674812443,118
ZNF703,-0.1275056084628231,-4.380308723006524,1.2921316640271392e-05,0.14104317,0.20522836,0.008551604237888184,118
RPL23A,-0.1269649348463727,-4.361429519373735,1.4068605748013374e-05,-2.421478,-2.2948363,0.008989839072980546,118
XPOT,-0.1266302851138908,-4.349746224192123,1.4826656935154404e-05,-0.511242,-0.3865619,0.009158425988844875,118
ZWILCH,-0.12628114429352424,-4.337558624788763,1.565891638707759e-05,-0.08530191,-0.027296584,0.009317575747560319,118
PM20D1,-0.12609628624064653,-4.331106373757752,1.611739102270355e-05,0.0041951486,0.087527,0.009317575747560319,118
ZNF672,-0.12571807064262008,-4.317906634831643,1.7095546674062428e-05,0.0987008,0.1505708,0.009317575747560319,118
