gene,partial_r,t,p,eff_def,eff_wt,fdr,n_def
PTEN,-0.19202485964673421,-6.667022342480298,4.02694491559267e-11,0.21085374,0.53786486,7.462331623084776e-07,121
WRN,-0.17481374286182277,-6.049662947176421,1.9550911808305233e-09,-0.1811593,0.061528936,1.8114897335985214e-05,121
PIK3CB,-0.15850875000343786,-5.4700952618757634,5.5053149400086425e-08,-0.067670576,0.06633395,0.0002550474778832504,121
PLEKHA1,-0.15329218183404225,-5.285665268528238,1.4952324005044127e-07,0.2635322,0.36650428,0.00046180252689578783,121
PCID2,-0.1336045299809818,-4.593549710546348,4.833259143050317e-06,-1.1673205,-1.0313708,0.009951680575540602,121
TFAM,-0.12907764246312528,-4.435223511855479,1.0070341445268474e-05,-0.6297148,-0.4983976,0.01866134973222701,121
CHM,-0.12120464596455194,-4.160533820960216,3.409150631218424e-05,0.057256036,0.14189158,0.045124978819363296,121
HSD17B12,-0.1180671097906836,-4.0512900406456005,5.432107219920052e-05,-0.52615744,-0.36360836,0.06489255183089905,121
MRPL28,-0.11691520986291008,-4.011213871765322,6.426957366025361e-05,-0.4842349,-0.38069755,0.06759199197266681,121
SLF1,-0.11580631363499287,-3.9726493673746557,7.545480977448098e-05,0.0036194527,0.07904755,0.07143658849949243,121
LACC1,-0.11508344763872692,-3.94751809864641,8.371034184103249e-05,0.15631449,0.2102196,0.07143658849949243,121
C1orf159,-0.1149923286145681,-3.944350692777175,8.480950553066932e-05,0.04624232,0.10021116,0.07143658849949243,121
MLST8,-0.11349692307152937,-3.8923829670715513,0.00010491308180083922,-0.72369725,-0.56269366,0.08100601328547298,121
MRPL53,-0.11106686430432135,-3.8079915434343863,0.00014742673703942635,-0.6940243,-0.5639758,0.093705828711536,121
FAM76A,-0.11075506582417902,-3.7971684016431086,0.00015392902911253128,0.04881627,0.09136848,0.093705828711536,121
RPL22L1,-0.11045782635601877,-3.7868516888681745,0.00016037790609315554,-0.18977593,-0.068636954,0.093705828711536,121
PABPC3,-0.11039313860252244,-3.7846066154431575,0.00016181460896709038,0.15965708,0.19066124,0.093705828711536,121
IFFO2,-0.1086109734378482,-3.7227732767711137,0.00020649404132563258,0.09012806,0.13671885,0.10342002918392695,121
TNFRSF12A,-0.1079388349072602,-3.6994624758263446,0.00022616961575959747,-0.06875897,-0.0045098085,0.10746536281131026,121
GTPBP8,-0.10743165311388381,-3.681876028643517,0.00024216541403480546,-0.123726815,-0.041342925,0.11218918218697449,121
RICTOR,-0.10676801938606857,-3.658869025502552,0.000264699090324621,-0.44258785,-0.32137203,0.11678902006679885,121
NDP,-0.10609695862637432,-3.6356095699087887,0.00028947008834087233,0.1272145,0.18042137,0.12032332301272194,121
BACH1,-0.10473324908606543,-3.5883578454345204,0.00034663355493253493,0.19859888,0.24574329,0.13521491319354464,121
PTCD3,-0.104124539568993,-3.567273046056739,0.0003754134763404514,-0.7465556,-0.6428741,0.13639820409668943,121
MALSU1,-0.10385186147608798,-3.557829195167987,0.00038901618175441545,-0.040661,0.022118026,0.13639820409668943,121
AKT1,-0.10383034829048436,-3.5570841485276077,0.00039010872684283306,0.0072437157,0.094614595,0.13639820409668943,121
SDF4,-0.10291350731922717,-3.525336703662354,0.00043942230296657996,0.06667613,0.11346722,0.15039557197159345,121
MRPL19,-0.10230314143070897,-3.5042066096039015,0.00047541021414161774,-0.37189537,-0.28576905,0.15039557197159345,121
MIPEP,-0.10224056817672858,-3.5020406292616304,0.00047925082320237727,-0.34771526,-0.23182741,0.15039557197159345,121
SERP2,-0.10201835509279292,-3.4943490372545565,0.0004931245820210661,0.13869825,0.18622959,0.15039557197159345,121
SH3GL1,-0.10158428395186611,-3.4793258015073207,0.0005213107869088494,-0.06899992,0.0029026817,0.15039557197159345,121
EXOC6,-0.1014914128466362,-3.476111786441622,0.0005275329004453928,0.08111295,0.137037,0.15039557197159345,121
MRPL13,-0.10125419293264645,-3.467902670344321,0.0005437411328269077,-0.32241896,-0.25372624,0.15266768079417314,121
GEMIN6,-0.10059999238167192,-3.4452668189149946,0.0005908723278034631,-0.9432655,-0.8650922,0.16079222424499906,121
KHDRBS1,-0.10050093965374189,-3.441839911223141,0.0005983309839149868,-0.06669616,0.02873796,0.16079222424499906,121
FGF9,-0.09914043002014063,-3.394781044004515,0.0007100392761785442,0.14823814,0.1841343,0.17984400353811872,121
