gene,partial_r,t,p,eff_def,eff_wt,fdr,n_def
SMARCA2,-0.27350257644718695,-9.688590013457247,2.122020595561717e-21,-0.10606962,0.24360543,3.9323163656354175e-17,60
HIGD2A,-0.1339065093929306,-4.6041216242231,4.598329351760803e-06,-0.23073503,-0.11845909,0.027956926382608206,60
ZG16B,-0.13194533752600282,-4.535486658431813,6.343147559719414e-06,0.10237717,0.15623285,0.027956926382608206,60
DYNLL1,-0.12961028569861394,-4.453837664346831,9.248612014550553e-06,-0.63088804,-0.43835747,0.027956926382608206,60
ARHGEF9,-0.12805828850435166,-4.399611268974558,1.1840999130017216e-05,0.13748667,0.20524049,0.027956926382608206,60
ERN2,-0.1262572231554905,-4.3367236599932655,1.5717537030155455e-05,-0.00036228696,0.11457718,0.03022511683555794,60
ZNF574,-0.12500422928458746,-4.292998751494785,1.909766373661884e-05,-0.72990334,-0.5464936,0.03022511683555794,60
PLAUR,-0.12470876223291993,-4.282691079686636,1.9989991407225647e-05,-0.028609337,0.073147915,0.03022511683555794,60
CT45A1,-0.12422072815498039,-4.26566804243791,2.155130435888055e-05,-0.4882422,-0.47006446,0.03022511683555794,60
UQCRH,-0.12384408760366429,-4.252532654995705,2.2834797674049492e-05,-1.5097156,-1.48345,0.03022511683555794,60
POLG,-0.12322107387681758,-4.230809066019667,2.511870827524677e-05,-0.25977975,-0.12070833,0.03103165220323986,60
TBC1D3E,-0.12278892103715192,-4.215743505972211,2.682866721872847e-05,0.1176625,0.12542999,0.03107262701439108,60
MCL1,-0.121916429043083,-4.185334408098709,3.0623636335464005e-05,-0.7636568,-0.5233944,0.03152703360736019,60
HSD3B7,-0.12100186041145879,-4.1534693780584115,3.514573440671908e-05,-0.11871994,-0.026840791,0.03357959972177347,60
TMEM191C,-0.11966404424934615,-4.106877040090703,4.291512656307324e-05,-0.24964374,-0.23104376,0.036975855186169575,60
GOLGA6L9,-0.11873577615863588,-4.07456145248754,4.9234014995775065e-05,-0.14301437,-0.13386063,0.0396676318211612,60
